player_name,player_url,player_birthday,player_height,player_foot,position,country_from,league_from,club_from,club_from_url,country_to,league_to,club_to,club_to_url,fee,year
Éverton,https://www.transfermarkt.com/everton/profil/spieler/321239,"Mar 22, 1996",174,right,Left Midfield,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,https://www.transfermarkt.com/gremio-porto-alegre/startseite/verein/210/saison_id/2020,Portugal,Liga NOS,SL Benfica,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294/saison_id/2020,20000000,2020
Kevin Volland,https://www.transfermarkt.com/kevin-volland/profil/spieler/82009,"Jul 30, 1992",179,left,Second Striker,Germany,Bundesliga,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2020,Monaco,Ligue 1,AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2020,11000000,2020
Luis Suárez,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352,"Jan 24, 1987",182,right,Centre-Forward,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2020,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,7000000,2020
Gareth Bale,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,"Jul 16, 1989",185,left,Right Winger,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,loan transfer,2020
Ben Godfrey,https://www.transfermarkt.com/ben-godfrey/profil/spieler/343475,"Jan 15, 1998",186,right,Centre-Back,England,Championship,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2020,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2020,27500000,2020
Jonathan David,https://www.transfermarkt.com/jonathan-david/profil/spieler/533738,"Jan 14, 2000",180,both,Centre-Forward,Belgium,Jupiler Pro League,KAA Gent,https://www.transfermarkt.com/kaa-gent/startseite/verein/157/saison_id/2020,France,Ligue 1,LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2020,27000000,2020
Yannick Carrasco,https://www.transfermarkt.com/yannick-carrasco/profil/spieler/140776,"Sep 4, 1993",181,right,Left Winger,China,Super League,Dalian Professional,https://www.transfermarkt.com/dalian-professional/startseite/verein/33304/saison_id/2020,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,27000000,2020
Patrik Schick,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086,"Jan 24, 1996",191,left,Centre-Forward,Italy,Serie A,AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2020,Germany,Bundesliga,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2020,26500000,2020
Gabriel,https://www.transfermarkt.com/gabriel/profil/spieler/435338,"Dec 19, 1997",190,left,Centre-Back,France,Ligue 1,LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2020,England,Premier League,Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2020,26000000,2020
Rhian Brewster,https://www.transfermarkt.com/rhian-brewster/profil/spieler/406560,"Apr 1, 2000",180,right,Centre-Forward,England,Premier League 2,Liverpool FC U23,https://www.transfermarkt.com/fc-liverpool-u23/startseite/verein/9252/saison_id/2020,England,Premier League,Sheffield United,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2020,26000000,2020
