player_name,player_url,player_birthday,player_height,player_foot,position,country_from,league_from,club_from,club_from_url,country_to,league_to,club_to,club_to_url,fee,year,player_mv_url,player_stats_url,player_id
Alban Lafont,https://www.transfermarkt.com/alban-lafont/profil/spieler/357117,"Jan 23, 1999",196,right,Goalkeeper,Italy,Serie A,ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2021,France,Ligue 1,FC Nantes,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2021,7500000,2021,https://www.transfermarkt.com/alban-lafont/marktwertverlauf/spieler/357117,https://www.transfermarkt.com/alban-lafont/leistungsdaten/spieler/357117,357117
Mitchel Bakker,https://www.transfermarkt.com/mitchel-bakker/profil/spieler/361065,"Jun 20, 2000",185,left,Left-Back,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,Germany,Bundesliga,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2021,7000000,2021,https://www.transfermarkt.com/mitchel-bakker/marktwertverlauf/spieler/361065,https://www.transfermarkt.com/mitchel-bakker/leistungsdaten/spieler/361065,361065
Mario Lemina,https://www.transfermarkt.com/mario-lemina/profil/spieler/170934,"Sep 1, 1993",184,right,Defensive Midfield,England,Premier League,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2021,France,Ligue 1,OGC Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2021,5500000,2021,https://www.transfermarkt.com/mario-lemina/marktwertverlauf/spieler/170934,https://www.transfermarkt.com/mario-lemina/leistungsdaten/spieler/170934,170934
Marvin Friedrich,https://www.transfermarkt.com/marvin-friedrich/profil/spieler/196231,"Dec 13, 1995",192,right,Centre-Back,Germany,Bundesliga,1.FC Union Berlin,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2021,Germany,Bundesliga,Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2021,5500000,2021,https://www.transfermarkt.com/marvin-friedrich/marktwertverlauf/spieler/196231,https://www.transfermarkt.com/marvin-friedrich/leistungsdaten/spieler/196231,196231
Moussa Sissoko,https://www.transfermarkt.com/moussa-sissoko/profil/spieler/46001,"Aug 16, 1989",187,right,Central Midfield,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,England,Premier League,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2021,3500000,2021,https://www.transfermarkt.com/moussa-sissoko/marktwertverlauf/spieler/46001,https://www.transfermarkt.com/moussa-sissoko/leistungsdaten/spieler/46001,46001
Felipe Anderson,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372,"Apr 15, 1993",175,right,Right Winger,England,Premier League,West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2021,Italy,Serie A,SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2021,3000000,2021,https://www.transfermarkt.com/felipe-anderson/marktwertverlauf/spieler/159372,https://www.transfermarkt.com/felipe-anderson/leistungsdaten/spieler/159372,159372
Reinildo Mandava,https://www.transfermarkt.com/reinildo-mandava/profil/spieler/240692,"Jan 21, 1994",180,left,Left-Back,France,Ligue 1,LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2021,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,3000000,2021,https://www.transfermarkt.com/reinildo-mandava/marktwertverlauf/spieler/240692,https://www.transfermarkt.com/reinildo-mandava/leistungsdaten/spieler/240692,240692
Maxime López,https://www.transfermarkt.com/maxime-lopez/profil/spieler/290862,"Dec 4, 1997",167,right,Defensive Midfield,France,Ligue 1,Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2021,Italy,Serie A,US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2021,2000000,2021,https://www.transfermarkt.com/maxime-lopez/marktwertverlauf/spieler/290862,https://www.transfermarkt.com/maxime-lopez/leistungsdaten/spieler/290862,290862
Pau López,https://www.transfermarkt.com/pau-lopez/profil/spieler/286415,"Dec 13, 1994",189,left,Goalkeeper,Italy,Serie A,AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2021,France,Ligue 1,Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2021,720000,2021,https://www.transfermarkt.com/pau-lopez/marktwertverlauf/spieler/286415,https://www.transfermarkt.com/pau-lopez/leistungsdaten/spieler/286415,286415
Borja Mayoral,https://www.transfermarkt.com/borja-mayoral/profil/spieler/298976,"Apr 5, 1997",182,right,Centre-Forward,Italy,Serie A,AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2021,Spain,LaLiga,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2021,500000,2021,https://www.transfermarkt.com/borja-mayoral/marktwertverlauf/spieler/298976,https://www.transfermarkt.com/borja-mayoral/leistungsdaten/spieler/298976,298976
Sergio Ramos,https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,"Mar 30, 1986",184,right,Centre-Back,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/sergio-ramos/marktwertverlauf/spieler/25557,https://www.transfermarkt.com/sergio-ramos/leistungsdaten/spieler/25557,25557
Billy Gilmour,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,"Jun 11, 2001",170,right,Central Midfield,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,England,Premier League,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/billy-gilmour/marktwertverlauf/spieler/423744,https://www.transfermarkt.com/billy-gilmour/leistungsdaten/spieler/423744,423744
Benjamin Lecomte,https://www.transfermarkt.com/benjamin-lecomte/profil/spieler/127181,"Apr 26, 1991",186,left,Goalkeeper,Monaco,Ligue 1,AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2021,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/benjamin-lecomte/marktwertverlauf/spieler/127181,https://www.transfermarkt.com/benjamin-lecomte/leistungsdaten/spieler/127181,127181
Brandon Williams,https://www.transfermarkt.com/brandon-williams/profil/spieler/507700,"Sep 3, 2000",180,right,Left-Back,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,England,Premier League,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/brandon-williams/marktwertverlauf/spieler/507700,https://www.transfermarkt.com/brandon-williams/leistungsdaten/spieler/507700,507700
Pape Sarr,https://www.transfermarkt.com/pape-sarr/profil/spieler/568693,"Sep 14, 2002",184,right,Defensive Midfield,England,Premier League,Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,France,Ligue 1,FC Metz,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/pape-sarr/marktwertverlauf/spieler/568693,https://www.transfermarkt.com/pape-sarr/leistungsdaten/spieler/568693,568693
Álvaro Odriozola,https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,"Dec 14, 1995",176,right,Right-Back,Spain,LaLiga,Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,Italy,Serie A,ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/alvaro-odriozola/marktwertverlauf/spieler/280730,https://www.transfermarkt.com/alvaro-odriozola/leistungsdaten/spieler/280730,280730
Kang-in Lee,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,"Feb 19, 2001",173,left,Attacking Midfield,Spain,LaLiga,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2021,Spain,LaLiga,RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/kang-in-lee/marktwertverlauf/spieler/557149,https://www.transfermarkt.com/kang-in-lee/leistungsdaten/spieler/557149,557149
Arnaud Kalimuendo,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959,"Jan 20, 2002",175,right,Centre-Forward,France,Ligue 1,Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,France,Ligue 1,RC Lens,https://www.transfermarkt.com/rc-lens/startseite/verein/826/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/arnaud-kalimuendo/marktwertverlauf/spieler/585959,https://www.transfermarkt.com/arnaud-kalimuendo/leistungsdaten/spieler/585959,585959
Nikola Maksimovic,https://www.transfermarkt.com/nikola-maksimovic/profil/spieler/124715,"Nov 25, 1991",193,right,Centre-Back,Italy,Serie A,SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2021,Italy,Serie A,Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/nikola-maksimovic/marktwertverlauf/spieler/124715,https://www.transfermarkt.com/nikola-maksimovic/leistungsdaten/spieler/124715,124715
Hélder Costa,https://www.transfermarkt.com/helder-costa/profil/spieler/173900,"Jan 12, 1994",179,left,Right Winger,England,Premier League,Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2021,Spain,LaLiga,Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/helder-costa/marktwertverlauf/spieler/173900,https://www.transfermarkt.com/helder-costa/leistungsdaten/spieler/173900,173900
Luuk de Jong,https://www.transfermarkt.com/luuk-de-jong/profil/spieler/72522,"Aug 27, 1990",188,right,Centre-Forward,Spain,LaLiga,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2021,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/luuk-de-jong/marktwertverlauf/spieler/72522,https://www.transfermarkt.com/luuk-de-jong/leistungsdaten/spieler/72522,72522
Paul Bernardoni,https://www.transfermarkt.com/paul-bernardoni/profil/spieler/318507,"Apr 18, 1997",190,left,Goalkeeper,France,Ligue 1,SCO Angers,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2021,France,Ligue 1,AS Saint-Étienne,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/paul-bernardoni/marktwertverlauf/spieler/318507,https://www.transfermarkt.com/paul-bernardoni/leistungsdaten/spieler/318507,318507
Krzysztof Piatek,https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757,"Jul 1, 1995",183,right,Centre-Forward,Germany,Bundesliga,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2021,Italy,Serie A,ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/krzysztof-piatek/marktwertverlauf/spieler/327757,https://www.transfermarkt.com/krzysztof-piatek/leistungsdaten/spieler/327757,327757
Gonzalo Villar,https://www.transfermarkt.com/gonzalo-villar/profil/spieler/398163,"Mar 23, 1998",181,right,Central Midfield,Italy,Serie A,AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2021,Spain,LaLiga,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/gonzalo-villar/marktwertverlauf/spieler/398163,https://www.transfermarkt.com/gonzalo-villar/leistungsdaten/spieler/398163,398163
Anwar El Ghazi,https://www.transfermarkt.com/anwar-el-ghazi/profil/spieler/183720,"May 3, 1995",189,right,Right Winger,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/anwar-el-ghazi/marktwertverlauf/spieler/183720,https://www.transfermarkt.com/anwar-el-ghazi/leistungsdaten/spieler/183720,183720
Óscar Rodríguez,https://www.transfermarkt.com/oscar-rodriguez/profil/spieler/284884,"Jun 28, 1998",174,right,Attacking Midfield,Spain,LaLiga,Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2021,Spain,LaLiga,Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/oscar-rodriguez/marktwertverlauf/spieler/284884,https://www.transfermarkt.com/oscar-rodriguez/leistungsdaten/spieler/284884,284884
Hannes Wolf,https://www.transfermarkt.com/hannes-wolf/profil/spieler/321070,"Apr 16, 1999",179,left,Attacking Midfield,Germany,Bundesliga,RB Leipzig,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2021,Germany,Bundesliga,Borussia Mönchengladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2021,9500000,2021,https://www.transfermarkt.com/hannes-wolf/marktwertverlauf/spieler/321070,https://www.transfermarkt.com/hannes-wolf/leistungsdaten/spieler/321070,321070
Jens Petter Hauge,https://www.transfermarkt.com/jens-petter-hauge/profil/spieler/422355,"Oct 12, 1999",184,right,Right Winger,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,Germany,Bundesliga,Eintracht Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/jens-petter-hauge/marktwertverlauf/spieler/422355,https://www.transfermarkt.com/jens-petter-hauge/leistungsdaten/spieler/422355,422355
Ben Gibson,https://www.transfermarkt.com/ben-gibson/profil/spieler/128904,"Jan 15, 1993",185,left,Centre-Back,England,Premier League,Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2021,England,Premier League,Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,9300000,2021,https://www.transfermarkt.com/ben-gibson/marktwertverlauf/spieler/128904,https://www.transfermarkt.com/ben-gibson/leistungsdaten/spieler/128904,128904
Davide Zappacosta,https://www.transfermarkt.com/davide-zappacosta/profil/spieler/173859,"Jun 11, 1992",182,right,Right-Back,England,Premier League,Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,Italy,Serie A,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,9000000,2021,https://www.transfermarkt.com/davide-zappacosta/marktwertverlauf/spieler/173859,https://www.transfermarkt.com/davide-zappacosta/leistungsdaten/spieler/173859,173859
Ante Budimir,https://www.transfermarkt.com/ante-budimir/profil/spieler/46413,"Jul 22, 1991",190,left,Centre-Forward,Spain,LaLiga,RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2021,Spain,LaLiga,CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2021,8000000,2021,https://www.transfermarkt.com/ante-budimir/marktwertverlauf/spieler/46413,https://www.transfermarkt.com/ante-budimir/leistungsdaten/spieler/46413,46413
Yacine Adli,https://www.transfermarkt.com/yacine-adli/profil/spieler/395236,"Jul 29, 2000",186,right,Attacking Midfield,France,Ligue 1,FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2021,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,8000000,2021,https://www.transfermarkt.com/yacine-adli/marktwertverlauf/spieler/395236,https://www.transfermarkt.com/yacine-adli/leistungsdaten/spieler/395236,395236
Toma Basic,https://www.transfermarkt.com/toma-basic/profil/spieler/334835,"Nov 25, 1996",190,left,Central Midfield,France,Ligue 1,FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2021,Italy,Serie A,SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2021,6860000,2021,https://www.transfermarkt.com/toma-basic/marktwertverlauf/spieler/334835,https://www.transfermarkt.com/toma-basic/leistungsdaten/spieler/334835,334835
Pol Lirola,https://www.transfermarkt.com/pol-lirola/profil/spieler/298975,"Aug 13, 1997",183,right,Right-Back,Italy,Serie A,ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2021,France,Ligue 1,Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2021,6500000,2021,https://www.transfermarkt.com/pol-lirola/marktwertverlauf/spieler/298975,https://www.transfermarkt.com/pol-lirola/leistungsdaten/spieler/298975,298975
Marco Silvestri,https://www.transfermarkt.com/marco-silvestri/profil/spieler/85528,"Mar 2, 1991",191,right,Goalkeeper,Italy,Serie A,Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2021,Italy,Serie A,Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2021,2500000,2021,https://www.transfermarkt.com/marco-silvestri/marktwertverlauf/spieler/85528,https://www.transfermarkt.com/marco-silvestri/leistungsdaten/spieler/85528,85528
Patrick Cutrone,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,"Jan 3, 1998",183,right,Centre-Forward,England,Premier League,Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,Italy,Serie A,FC Empoli,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/patrick-cutrone/marktwertverlauf/spieler/265078,https://www.transfermarkt.com/patrick-cutrone/leistungsdaten/spieler/265078,265078
Loren Morón,https://www.transfermarkt.com/loren-moron/profil/spieler/354741,"Dec 30, 1993",185,right,Centre-Forward,Spain,LaLiga,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2021,Spain,LaLiga,RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/loren-moron/marktwertverlauf/spieler/354741,https://www.transfermarkt.com/loren-moron/leistungsdaten/spieler/354741,354741
Yacine Adli,https://www.transfermarkt.com/yacine-adli/profil/spieler/395236,"Jul 29, 2000",186,right,Attacking Midfield,Italy,Serie A,AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,France,Ligue 1,FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/yacine-adli/marktwertverlauf/spieler/395236,https://www.transfermarkt.com/yacine-adli/leistungsdaten/spieler/395236,395236
Javairô Dilrosun,https://www.transfermarkt.com/javairo-dilrosun/profil/spieler/315125,"Jun 22, 1998",175,left,Left Winger,Germany,Bundesliga,Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2021,France,Ligue 1,FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/javairo-dilrosun/marktwertverlauf/spieler/315125,https://www.transfermarkt.com/javairo-dilrosun/leistungsdaten/spieler/315125,315125
Marin Pongracic,https://www.transfermarkt.com/marin-pongracic/profil/spieler/282144,"Sep 11, 1997",193,right,Centre-Back,Germany,Bundesliga,VfL Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2021,Germany,Bundesliga,Borussia Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/marin-pongracic/marktwertverlauf/spieler/282144,https://www.transfermarkt.com/marin-pongracic/leistungsdaten/spieler/282144,282144
Eddie Salcedo,https://www.transfermarkt.com/eddie-salcedo/profil/spieler/459661,"Oct 1, 2001",178,right,Centre-Forward,Italy,Serie A,Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,Italy,Serie A,Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/eddie-salcedo/marktwertverlauf/spieler/459661,https://www.transfermarkt.com/eddie-salcedo/leistungsdaten/spieler/459661,459661
Matteo Lovato,https://www.transfermarkt.com/matteo-lovato/profil/spieler/459655,"Feb 14, 2000",188,right,Centre-Back,Italy,Serie A,Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2021,Italy,Serie A,Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,8000000,2021,https://www.transfermarkt.com/matteo-lovato/marktwertverlauf/spieler/459655,https://www.transfermarkt.com/matteo-lovato/leistungsdaten/spieler/459655,459655
Mert Cetin,https://www.transfermarkt.com/mert-cetin/profil/spieler/391498,"Jan 1, 1997",189,right,Centre-Back,Italy,Serie A,AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2021,Italy,Serie A,Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2021,8000000,2021,https://www.transfermarkt.com/mert-cetin/marktwertverlauf/spieler/391498,https://www.transfermarkt.com/mert-cetin/leistungsdaten/spieler/391498,391498
Florian Müller,https://www.transfermarkt.com/florian-muller/profil/spieler/284769,"Nov 13, 1997",190,left,Goalkeeper,Germany,Bundesliga,1.FSV Mainz 05,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2021,Germany,Bundesliga,VfB Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2021,5000000,2021,https://www.transfermarkt.com/florian-muller/marktwertverlauf/spieler/284769,https://www.transfermarkt.com/florian-muller/leistungsdaten/spieler/284769,284769
Demarai Gray,https://www.transfermarkt.com/demarai-gray/profil/spieler/292417,"Jun 28, 1996",183,right,Left Winger,Germany,Bundesliga,Bayer 04 Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2021,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,2000000,2021,https://www.transfermarkt.com/demarai-gray/marktwertverlauf/spieler/292417,https://www.transfermarkt.com/demarai-gray/leistungsdaten/spieler/292417,292417
Axel Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,"Nov 14, 1997",185,right,Centre-Back,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,Italy,Serie A,SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2021,600000,2021,https://www.transfermarkt.com/axel-tuanzebe/marktwertverlauf/spieler/342046,https://www.transfermarkt.com/axel-tuanzebe/leistungsdaten/spieler/342046,342046
Yusuf Demir,https://www.transfermarkt.com/yusuf-demir/profil/spieler/548031,"Jun 2, 2003",173,left,Right Winger,Austria,Bundesliga,Rapid Vienna,https://www.transfermarkt.com/sk-rapid-wien/startseite/verein/170/saison_id/2021,Spain,LaLiga,FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,500000,2021,https://www.transfermarkt.com/yusuf-demir/marktwertverlauf/spieler/548031,https://www.transfermarkt.com/yusuf-demir/leistungsdaten/spieler/548031,548031
Ryan Bertrand,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,"Aug 5, 1989",179,left,Left-Back,England,Premier League,Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2021,England,Premier League,Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/ryan-bertrand/marktwertverlauf/spieler/40611,https://www.transfermarkt.com/ryan-bertrand/leistungsdaten/spieler/40611,40611
Aïssa Mandi,https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293,"Oct 22, 1991",184,right,Centre-Back,Spain,LaLiga,Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2021,Spain,LaLiga,Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/aissa-mandi/marktwertverlauf/spieler/80293,https://www.transfermarkt.com/aissa-mandi/leistungsdaten/spieler/80293,80293
Joshua King,https://www.transfermarkt.com/joshua-king/profil/spieler/91059,"Jan 15, 1992",187,right,Second Striker,England,Premier League,Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,England,Premier League,Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/joshua-king/marktwertverlauf/spieler/91059,https://www.transfermarkt.com/joshua-king/leistungsdaten/spieler/91059,91059
Axel Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,"Nov 14, 1997",185,right,Centre-Back,England,Premier League,Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,England,Premier League,Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/axel-tuanzebe/marktwertverlauf/spieler/342046,https://www.transfermarkt.com/axel-tuanzebe/leistungsdaten/spieler/342046,342046
Manu Sánchez,https://www.transfermarkt.com/manu-sanchez/profil/spieler/618809,"Aug 24, 2000",171,left,Left-Back,Spain,LaLiga,Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,Spain,LaLiga,CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2021,loan transfer,2021,https://www.transfermarkt.com/manu-sanchez/marktwertverlauf/spieler/618809,https://www.transfermarkt.com/manu-sanchez/leistungsdaten/spieler/618809,618809
Keita Baldé,https://www.transfermarkt.com/keita-balde/profil/spieler/238752,"Mar 8, 1995",181,both,Centre-Forward,Monaco,Ligue 1,AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2021,Italy,Serie A,Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2021,free transfer,2021,https://www.transfermarkt.com/keita-balde/marktwertverlauf/spieler/238752,https://www.transfermarkt.com/keita-balde/leistungsdaten/spieler/238752,238752
