team_name,team_url,team_manager,team_league_matches,team_league_pd,team_league_pts,team_avg_age,team_foreigners,team_avg_val,team_total_val,team_transfer_income,team_transfer_expense,team_transfer_net,team_rank,season
Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2020,Javier Calleja,38,16,58,25.9,13,8130000,292600000,26650000,36500000,-9850000,7,2020
Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2020,Javi Gracia,38,-3,43,24.7,20,7970000,278850000,87850000,0,87850000,13,2020
Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2020,Manuel Pellegrini,38,0,61,26.8,12,6290000,207700000,43800000,0,43800000,6,2020
Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2020,Gaizka Garitano,38,4,46,25.9,1,6380000,204150000,0,12000000,-12000000,9,2020
Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2020,Pepe Bordalás,38,-15,38,25.4,19,5150000,170100000,9750000,22050000,-12300000,15,2020
Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2020,Óscar García,38,-2,53,24.3,12,3800000,155850000,2500000,3000000,-500000,8,2020
Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2020,Diego Martínez,38,-18,46,24.9,17,2790000,122650000,0,20500000,-20500000,10,2020
Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2020,Paco López,38,-11,41,26.5,10,3320000,113000000,5000000,4000000,1000000,14,2020
CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2020,Jagoba Arrasate,38,-11,44,27.0,7,2690000,96750000,3450000,8250000,-4800000,11,2020
SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2020,José Luis Mendilibar,38,-23,30,27.1,9,2450000,83400000,150000,2000000,-1850000,20,2020
Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2020,Pablo Machín,38,-21,38,25.6,10,2280000,79800000,4880000,0,4880000,16,2020
SD Huesca,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358/saison_id/2020,Míchel,38,-19,34,26.5,8,1890000,64099999,0,3900000,-3900000,18,2020
Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2020,Sergio,38,-23,31,26.9,9,1620000,63050000,12100000,9850000,2250000,19,2020
Cádiz CF,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687/saison_id/2020,Álvaro Cervera,38,-22,44,27.2,16,1160000,47650000,0,10100000,-10100000,12,2020
Elche CF,https://www.transfermarkt.com/fc-elche/startseite/verein/1531/saison_id/2020,Jorge Almirón,38,-21,36,26.7,14,1090000,45650000,5300000,6100000,-800000,17,2020
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,Carlo Ancelotti,30,35,69,27.4,18,29100000,756500000,78000000,31000000,47000000,1,2021
FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,César Azpilicueta,28,27,54,25.5,15,22630000,679000000,69500000,69500000,0,4,2021
